رقم الترتيب,اسم السورة,اخر السورة,قيمة الحرف,اخر الاية,قيمة الحرف,الحرف الاول,قيمة الحرف,عدد ايات,,,,رقم الترتيب,اسم السورة,اخر السورة,قيمة الحرف,اخر الاية,قيمة الحرف,الحرف الاول,قيمة الحرف,عدد ايات,,,,
1,الفاتحة,ن,1,م,0,ب,2,7,,,,58,المجادلة,ن,1,ر,0,ق,8,22,,,,
2,البقرة,ن,1,م,0,ا,40,286,,,,59,الحشر,م,0,ر,0,س,7,24,,,,
3,ال عمران,ن,1,م,0,ا,40,200,,,,60,الممتحنة,ر,0,ل,4,ى,14,13,,,,
4,النساء,م,0,ا,40,ى,14,176,,,,61,الصف,ن,1,م,0,س,7,14,,,,
5,المائدة,ر,0,د,0,ى,14,120,,,,62,الجمعة,ن,1,م,0,ى,14,11,,,,
6,الانعام,م,0,ن,1,ا,40,165,,,,63,المنافقون,ن,1,ن,1,ا,40,11,11,,,
7,الاعراف,ن,1,ص,1,ا,40,206,,,,64,التغابن,م,0,ر,0,ى,14,18,,,,
8,الانفال,م,0,ن,1,ى,14,75,,,,65,الطلاق,ا,40,ا,40,ى,14,12,,,,
9,التوبة,م,0,ن,1,ب,2,129,,,,66,التحريم,ن,1,م,0,ى,14,12,,,,
10,يونس,ن,1,م,0,ا,40,109,,,,67,الملك,ن,1,ر,0,ت,4,30,,,,
11,هود,ن,1,ر,0,ا,40,123,,,,68,القلم,ن,1,ن,1,ن,1,52,,,,
12,يوسف,ن,1,ن,1,ا,40,111,111,,,69,الحاقة,م,0,ت,4,ا,40,52,,,,
13,الرعد,ب,2,ن,1,ا,40,43,,,,70,المعارج,ن,1,ع,2,س,7,44,,,,
14,ابراهيم,ب,2,د,0,ا,40,52,,,,71,نوح,ا,40,م,0,ا,40,28,,,,
15,الحجر,ن,1,ن,1,ا,40,99,99,,,72,الجن,ا,40,ا,40,ق,8,28,,,,
16,النحل,ن,1,ن,1,ا,40,128,128,,,73,المزمل,م,0,ل,4,ى,14,20,,,,
17,الاسراء,ا,40,ر,0,س,7,111,,,,74,المدثر,ت,4,ر,0,ى,14,56,,,,
18,الكهف,ا,40,ا,40,ا,40,110,110,,,75,القيامة,ى,14,ت,4,ل,4,40,,,,
19,مريم,ا,40,ص,1,ك,1,98,,,,76,الانسان,ا,40,ا,40,ه,2,31,,,,
20,طه,ى,14,ه,2,ط,4,135,,,,77,المرسلات,ن,1,ا,40,و,17,50,,,,
21,الانبياء,ن,1,ن,1,ا,40,112,112,560,,78,النبأ,ا,40,ن,1,ع,2,40,,,,
22,الحج,ر,0,م,0,ى,14,78,,,,79,النازعات,ا,40,ا,40,و,17,46,,,,
23,المؤمنون,ن,1,ن,1,ق,8,118,,,,80,عبس,ت,4,ى,14,ع,2,42,,,,
24,النور,م,0,ن,1,س,7,64,,,,81,التكوير,ن,1,ت,4,ا,40,29,,,,
25,الفرقان,ا,40,ا,40,ت,4,77,,,,82,الانفطار,ه,2,ت,4,ا,40,19,,,,
26,الشعراء,ن,1,م,0,ط,4,227,,,,83,المطففين,ن,1,ن,1,و,17,36,,,,
27,النمل,ن,1,ن,1,ط,4,93,93,,,84,الانشقاق,ن,1,ت,4,ا,40,25,,,,
28,القصص,ن,1,م,0,ط,4,88,,,,85,البروج,ظ,0,ج,0,و,17,22,,,,
29,العنكبوت,ن,1,م,0,ا,40,69,,,,86,الطارق,ا,40,ق,8,و,17,17,,,,
30,الروم,ن,1,م,0,ا,40,60,,,,87,الاعلى,ى,14,ى,14,س,7,19,,,,
31,لقمان,ر,0,م,0,ا,40,34,,,,88,الغاشية,م,0,ت,4,ه,2,26,,68,,
32,السجدة,ن,1,م,0,ا,40,30,,,,89,الفجر,ى,14,ر,0,و,17,30,,,,
33,الاحزاب,ا,40,ا,40,ى,14,73,,,,90,البلد,ت,4,د,0,ل,4,20,,,,
