1,الله,50,ا ل ه,2851,ل-1,24440,,,,الرحمن,52,ر ح م,339,ن-1-1-¶,1070440,يحتوى على 0440 ¶,,الرحيم,65,ر ح م,339,ى-1-¶,#   01470440,يحتوى على 0440 ¶,# وضعت لادخل الصفر فى اليسار
2,المحيط,69,ح و ط,28,ل-2-¶,41470440,يحتوى على 0440 ¶,,,م الك الملك,54,م ل ك-م ل ك1,206,ن-2-2-¶,140440140,يحتوى على 0440 ¶,,القدير,66,ق د ر,132,ى-2,#   01408440,# وضعت لادخل الصفر فى اليسار,
3,التواب,107,ت و ب,87,ل-3,240174440,,,,العليم,64,ع ل م2,854,ن-3,#   01442440,# وضعت لادخل الصفر فى اليسار,,الولى,79,و ل ى,232,ى-3,14417440,,
4,البارئ,100,ب ر أ,31,ل-4,140402440,,,,الحكيم,66,ح ك م,210,ن-4,#   01417440,# وضعت لادخل الصفر فى اليسار,,النصير,60,ن ص ر,158,ى-4,#   01411440,# وضعت لادخل الصفر فى اليسار,
5,الواسع,70,و س ع,32,ل-5-1,2717440,,,,البصير,61,ب ص ر,148,ن-5,#   0141440,# وضعت لادخل الصفر فى اليسار,,الرؤف,61,ر أ ف,13,ى-5-¶,#   0170440,يحتوى على 0440 ¶,# وضعت لادخل الصفر فى اليسار
6,بديع السم ا وات و الارض,191,ب د ع-س م و-ارض,846,ل-6-2,21402,41707440,4044017,يحتوى على 0440 ¶,السميع ,67,س م ع,185,ن-6,21407440,,,الشاكر,85,ش ك ر,75,ى-6-¶,#   01400440,يحتوى على 0440 ¶,# وضعت لادخل الصفر فى اليسار
7,القريب,68,ق ر ب,96,ل-7,21408440,,,,العزيز,60,ع ز ز,119,ن-7,#   01402440,# وضعت لادخل الصفر فى اليسار,,الغفور,61,غ ف ر,234,ى-7-¶,#   01700440,يحتوى على 0440 ¶,# وضعت لادخل الصفر فى اليسار
8,القيوم,83,ق وم,660,ل-8,17148440,,,,الحليم,69,ح ل م,21,ن-8,#   01447440,# وضعت لادخل الصفر فى اليسار,,المولى,79,و ل ى,232,ى-8,144170440,يحتوى على 0440 ¶,
9,الحميد,65,ح م د,63,ل-9,1407440,,,,الخبير,60,خ ب ر,52,ن-9-¶,#   01420440,يحتوى على 0440 ¶,# وضعت لادخل الصفر فى اليسار,العفو,63,ع ف و,35,ى-9,1702440,,
10,الوهاب,105,وه ب,25,ل-10,240217440,,,,الحى,65,ح ى ى,184,ن-10,147440,,,المجيب,60,ج و ب,43,ى-10-¶,21400440,يحتوى على 0440 ¶,
11,جامع الناس,134,جمع-انس,226,ل-11-ȸ,7.40144E+11,يحتوى على  1440 ȸ,,,العلى,64,ع ل و1,70,ن-11,1442440,,,الودود,78,و د د,29,ى-11,#   017017440,# وضعت لادخل الصفر فى اليسار,
12,المقيت,70,ق و ت,2,ل-12-¶,41480440,يحتوى على  0440 ¶,,,العظيم,60,ع ظ م,128,ن-12,#   01402440,# وضعت لادخل الصفر فى اليسار,,المستعان,98,عون,11,ى-12-¶,1402470440,يحتوى على 0440 ¶,
13,عل ام الغيوب,83,علم-غيب,914,ل-13-3-¶,2.1714E+11,يحتوى على  0440 ¶,,,الغنى,59,غ ن ى ,73,ن-13-¶,1410440,يحتوى على 0440 ¶,,الحفى,65,ح ف و,3,ى-13,1407440,,
14,فاطر السموت و الارض,217,ف ط ر- س م و1-ارض1,862,ل-14-4-¶¶,4400,41707440,4044017,يحتوى على 0440 ¶¶,القائم بالقسط,171,ق و م-ق س ط,685,ن-14-ȸ,14408440,478440  0,يحتوى على  1440 ȸ,الغف ا ر,44,غ ف ر1,234,ى-14-1-¶,#   000440,يحتوى على 0440 ¶,# وضعت لادخل الصفر فى اليسار
