,,COde -Z,,,,Code-1,,,,,Code-M,,
,Chp last letter,Rep numb,,,chp 1st letter,Rep numb,,,,,verse last letter,Rep numb,
,??? ??????,??? ??????,,,??? ???,??? ??????,??? ???,???? ?????,,,??? ???????????,??? ??????,
1,?,42,,1,?,2,1,2,,1,?,25,
2,?,17,,2,?,40,,,,2,?,15,
3,?,10,,3,?,14,,,,3,?,5,
4,?,5,,4,?,7,,,,4,?,20,
5,?,17,,5,?,1,,,,5,?,2,
6,?,5,,6,?,4,,,,6,?,17,
7,?,1,,7,?,8,6,74,,7,?,1,
8,?,5,,8,?,4,,,,8,?,2,
9,?,3,,9,?,17,2,21,,9,?,10,
10,?,1,,10,?,1,,,,10,?,3,
11,?,1,,11,?,7,,,,11,?,1,
12,?,1,,12,?,1,,,,12,?,5,
13,?,1,,13,?,4,,,,13,?,1,
14,?,4,,14,?,2,,,,14,?,3,
15,?,1,,15,?,2,6,17,,15,?,1,
,6+9,114,,1,3+12,114,,114,,16,?,1,
,??? 15,17+97,,,15 ???,23+91,,,,17,?,1,
,,,,???30,,,,,,18,?,1,
,,,,188,,,,,,,5+13,114,
,,,,40,,,,,,,18???,18+96,
,,,,228,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
